songName,animeName,youtubeLink
Spectum of Love,7 Deadly Sins,https://www.youtube.com/watch?v=_JEtysuMWB8
Liar Mask,Akagame ga Kill,https://www.youtube.com/watch?v=PRvv-vL0i50
Bye Bye Yesterday,Assassination Classroom,https://www.youtube.com/watch?v=1RJt1rwNzoo
Sasageyo!,Attack on Titan,https://www.youtube.com/watch?v=WAoPeG1LU1g
Guren no Yamina,Attack on Titan,https://www.youtube.com/watch?v=Pn7dCgtwX2c
Jiyuu no Tsubasa,Attack on Titan,https://www.youtube.com/watch?v=PbWFpzi8C94
My War,Attack on Titan,https://www.youtube.com/watch?v=w2y715XAmso
Kimi No Shiranai Monogatari,Bakemonogatari,https://www.youtube.com/watch?v=eLPs_w-FepA
black bullet,Black Bullet,https://www.youtube.com/watch?v=as1Rz1KODXc
Black Catcher,Black Clover,https://www.youtube.com/watch?v=MRpZVCpO2pY
Grandeur,Black Clover,https://www.youtube.com/watch?v=pelNtKkogQk
Black Rover,Black Clover,https://www.youtube.com/watch?v=pEXJahZHhkA
Justadice,Black Clover,https://www.youtube.com/watch?v=xe8emMZX6bY
Stories,Black Clover,https://www.youtube.com/watch?v=z7W-ELM10z4
Ranbu no Melody,Bleach,https://www.youtube.com/watch?v=NaKMJx7vGIY
Asterisk,Bleach,https://www.youtube.com/watch?v=V6rNyAoc2v8
Change,Bleach,https://www.youtube.com/watch?v=FadWNNDo6ps
Colors,Code Geass,https://www.youtube.com/watch?v=G8CFuZ9MseQ
tsukiakari no michishirube ,Darker than black,https://www.youtube.com/watch?v=sSLtqAr32rA
tsukiakari,Darker than black,https://www.youtube.com/watch?v=CoVXDq2dPkk
The World,Death Note,https://www.youtube.com/watch?v=U0s8TOauw4g
Flyers,Death Parade,https://www.youtube.com/watch?v=HRPwenz8r40
Kawaki wo Ameku,Dom x Kan,https://www.youtube.com/watch?v=8LSg2ZcTHGs
Good Morning World,Dr. Stone,https://www.youtube.com/watch?v=RxVHLZ4RR-U
HeadHunt,Durarara!,https://www.youtube.com/watch?v=8zC2p5OlnEI
Steppin' out,Durarara!,https://www.youtube.com/watch?v=HjQzFD9z5Cg
Uragirinoyuuyake,Durarara!,https://www.youtube.com/watch?v=OTXYhpXezQ8
Trust Me,Durarara!,https://www.youtube.com/watch?v=S4YDfN6w0P0
Complications,Durarara!,https://www.youtube.com/watch?v=29qT7_pQGSM
Re:Re,Erased,https://www.youtube.com/watch?v=oxvSFOnALGk
Snow Fairy,Fairy Tail,https://www.youtube.com/watch?v=eLe0ZE21BdE
Memoria,Fate/Zero,https://www.youtube.com/watch?v=9PGeNOzu-us
Veil,Fire Force,https://www.youtube.com/watch?v=rotz8nBn_II
Braver!,Food Wars,https://www.youtube.com/watch?v=9bnP5wk6Gko
Again,Full Metal Alchemist,https://www.youtube.com/watch?v=IE1jTr-4U-E
Golden Time Lovers,Full Metal Alchemist,https://www.youtube.com/watch?v=nrjVPZP1JIw
Period,Full Metal Alchemist,https://www.youtube.com/watch?v=OcEPi99RcA4
Kuusou Mesorogowi,Future Diary,https://www.youtube.com/watch?v=ZZvJY7_gyfw
Donten,Gintama,https://www.youtube.com/watch?v=hRHNwomYsGg
Ginro No Sora,Gintama,https://www.youtube.com/watch?v=iWkPr98MHmQ
Pray,Gintama,https://www.youtube.com/watch?v=nlgGxEmeaW8
Kasanaru Kage,Gintama,https://www.youtube.com/watch?v=rTtwc00q-oo
Tooi Nioi,Gintama,https://www.youtube.com/watch?v=SnJ5Xnw4Wkk
Know Know Know ,Gintama,https://www.youtube.com/watch?v=-YgeQvUfPJk
Rightfully,Goblin Slayer,https://www.youtube.com/watch?v=W-AaoR_9Dds
Grand Blue,Grand Blue,https://www.youtube.com/watch?v=19AbuxKui88
Sorairo Days,Gurren Lagaan,https://www.youtube.com/watch?v=-hB-WOW2BN0
Fly High,Haikyuu,https://www.youtube.com/watch?v=VKviyEGvb94
Hikari Are,Haikyuu,https://www.youtube.com/watch?v=y9pwrrfLT04
Departure!,Hunter x Hunter,https://www.youtube.com/watch?v=VxFUs1pcWzU
Hiyori Ittai,Hunter x Hunter,https://www.youtube.com/watch?v=ZV9jaHMnaUI
Hunting for your dreams,Hunter x Hunter,https://www.youtube.com/watch?v=6FhmyWT-_0U
Reason,Hunter x Hunter,https://www.youtube.com/watch?v=cyq5bUXpnYI
Traitor's Requium,JJBA: 5 Golden Wind,https://www.youtube.com/watch?v=K_edMSP238Y
Kaikai Kitan,Jujutsu Kaisen,https://www.youtube.com/watch?v=3W3MZckerm0
Fake Town Baby,Kekkei Sensen,https://www.youtube.com/watch?v=_g_ufzmCot8
Hello World,Kekkei Sensen,https://www.youtube.com/watch?v=MEAMcxuFPB0
Sugar Song to Bitter Step ,Kekkei Sensen,https://www.youtube.com/watch?v=u803ncjzr8s
Can Do!,Kuroko no Basket,https://www.youtube.com/watch?v=k3cG9QYlh2o
Other Self,Kuroko no Basket,https://www.youtube.com/watch?v=1OrXtzv3Q3A
Database,Log Horizon,https://www.youtube.com/watch?v=eW6sEkTGbUc
Daddy! Daddy! Do!,Love is war,https://www.youtube.com/watch?v=Do1UtRDoQa0
Aozora No Rapsody,Miss Kobayashi's Dragon maid,https://www.youtube.com/watch?v=j5Q1AYxDbs4
"""99""",Mob Psycho,https://www.youtube.com/watch?v=qUSlqPNyOAw
The Day,My Hero Acadamia,https://www.youtube.com/watch?v=HhjgnSX4Uks
Peace sign,My Hero Acadamia,https://www.youtube.com/watch?v=mv-KRbTmui4
Blue Bird,Naruto,https://www.youtube.com/watch?v=0qP9jkdRsYU
Silhoutte,Naruto OP16,https://www.youtube.com/watch?v=dlFA0Zq1k2A
Cruel Angel Thesis,Neon Genesis Eva.,https://www.youtube.com/watch?v=mXU0myOwfP4
This Game ,No Game No Life,https://www.youtube.com/watch?v=PkwMJ6I8tek
Super Powers ,one piece,https://www.youtube.com/watch?v=V7nS-76cy64
Clattanoia,Overlord,https://www.youtube.com/watch?v=aUOJVws3di8
Touch off ,Promised Neverland,https://www.youtube.com/watch?v=HGhjyd8ZE78
Styx Helix,Re: Zero,https://www.youtube.com/watch?v=6aIqnyAYa1c
Realize,Re: Zero,https://www.youtube.com/watch?v=iD4ILikhO70
Paradisus Paradoxum,Re: Zero,https://www.youtube.com/watch?v=Yc8pu8TC7IM
Duvet,Serial Experiments Lain,https://www.youtube.com/watch?v=LrPrp7mQR7c
Meguru mono,Slime,https://www.youtube.com/watch?v=h5axqV9Z1kw
Resonance,Soul Eater,https://www.youtube.com/watch?v=zvnBoBI48As
Hacking to the gate,Steins; Gate,https://www.youtube.com/watch?v=ZGM90Bo3zH0
God Knows,The melancholy of Haruhi Suzumia,https://www.youtube.com/watch?v=bg0pYLb4Yn8
Days of Dash,The pet girl of Sakura Hall,https://www.youtube.com/watch?v=5p4WoJ86Xo0
Yume no Tsuzuki,The pet girl of Sakura Hall,https://www.youtube.com/watch?v=2PVqHKsR8jc
Rise,The rising of shield hero,https://www.youtube.com/watch?v=Cs85gCoCaBA
Dark Crow,Vinland Saga,https://www.youtube.com/watch?v=5j45cwHSkvU
Sensen no realism,Yojou Senki,https://www.youtube.com/watch?v=Di4Zh6RmE6c
hikaru Nara,You Lie in April,https://www.youtube.com/watch?v=tSZ2vf1V8Qg
Zen Zen Zense,Your Name,https://www.youtube.com/watch?v=PDSkFeMVNFs
Jingo Jungle,Yujou Senki,https://www.youtube.com/watch?v=cOD9g8lY8zA
Traitor's Requium,JoJo's Bizzare Adventure: Golden Wind,https://www.youtube.com/watch?v=tdVbx2tHo0s
